Material;Centro;Almac‚n;Clase de movimiento;Stock especial;Documento material;Posici¢n doc.mat.;Fecha contabiliz.;Ctd.en UM entrada;Un.medida de entrada;Descripci¢n del material;Importe ML;Centro de coste;Referencia
1962;BPC1;CC01;201;;4902549920;1;2024-12-20 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;242;242
1962;BPC1;CC01;201;;4902549555;1;2024-12-18 00:00:00;-16;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-43930,28;915;915
1962;BPC1;CC01;201;;4902549556;1;2024-12-18 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;420;420
1962;BPC1;CC01;201;;4902549562;1;2024-12-18 00:00:00;-13;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-35693,36;333;333
1962;BPC1;CC01;201;;4902549691;1;2024-12-18 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;438;438
1962;BPC1;CC01;201;;4902549359;1;2024-12-17 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;304;304
1962;BPC1;CC01;201;;4902549376;1;2024-12-17 00:00:00;-3;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-8236,93;118;805
1962;BPC1;CC01;201;;4902549383;1;2024-12-17 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;119;67
1962;BPC1;CC01;201;;4902549357;4;2024-12-17 00:00:00;-2;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-5491,29;944;944
1962;BPC1;CC01;201;;4902549355;3;2024-12-17 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;455;455
1962;BPC1;CC01;201;;4902549351;1;2024-12-17 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;180;20
1962;BPC1;CC01;201;;4902549353;5;2024-12-17 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;316;316
1962;BPC1;CC01;201;;4902549200;1;2024-12-16 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;113;883
1962;BPC1;CC01;201;;4902549323;1;2024-12-16 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,79;335;335
1962;BPC1;CC01;201;;4902549216;1;2024-12-16 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;364;364
1962;BPC1;CC01;201;;4902549198;1;2024-12-16 00:00:00;-16;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-43930,28;921;921
1962;BPC1;CC01;201;;4902549206;1;2024-12-16 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;118;871
1962;BPC1;CC01;201;;4902549065;1;2024-12-13 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;304;E140
1962;BPC1;CC01;201;;4902549061;1;2024-12-13 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;341;341
1962;BPC1;CC01;201;;4902549033;1;2024-12-13 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;144;18
1962;BPC1;CC01;201;;4902548827;1;2024-12-12 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;380;380
1962;BPC1;CC01;201;;4902548832;3;2024-12-12 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;358;358
1962;BPC1;CC01;201;;4902548834;1;2024-12-12 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;354;354
1962;BPC1;CC01;201;;4902548830;1;2024-12-12 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;180;20
1962;BPC1;CC01;201;;4902548970;1;2024-12-12 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;395;395
1962;BPC1;CC01;201;;4902548833;1;2024-12-12 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;406;406
1962;BPC1;CC01;201;;4902548831;2;2024-12-12 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;345;345
1962;BPC1;CC01;201;;4902549020;7;2024-12-12 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;359;359
1962;BPC1;CC01;201;;4902548731;1;2024-12-11 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;381;381
1962;BPC1;CC01;201;;4902548704;1;2024-12-11 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;430;430
1962;BPC1;CC01;201;;4902548703;1;2024-12-11 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;144;14
1962;BPC1;CC01;201;;4902548700;3;2024-12-11 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;401;401
1962;BPC1;CC01;201;;4902548684;1;2024-12-10 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;408;408
1962;BPC1;CC01;201;;4902548573;1;2024-12-10 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;144;14
1962;BPC1;CC01;201;;4902548589;1;2024-12-10 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;443;443
1962;BPC1;CC01;201;;4902548574;1;2024-12-10 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;371;371
1962;BPC1;CC01;201;;4902548579;1;2024-12-10 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;162;65
1962;BPC1;CC01;201;;4902548577;1;2024-12-10 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;437;437
1962;BPC1;CC01;201;;4902548576;4;2024-12-10 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;364;364
1962;BPC1;CC01;201;;4902548680;1;2024-12-10 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;441;441
1962;BPC1;CC01;201;;4902548592;1;2024-12-10 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;372;372
1962;BPC1;CC01;201;;4902548586;1;2024-12-10 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;431;431
1962;BPC1;CC01;201;;4902548580;1;2024-12-10 00:00:00;-3;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-8236,93;122;266
1962;BPC1;CC01;201;;4902548575;3;2024-12-10 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;389;389
1962;BPC1;CC01;201;;4902548595;2;2024-12-10 00:00:00;-3;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-8236,93;322;E123
1962;BPC1;CC01;201;;4902548492;1;2024-12-09 00:00:00;-3;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-8236,93;104;10
1962;BPC1;CC01;201;;4902548497;3;2024-12-09 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;204;21
1962;BPC1;CC01;201;;4902548494;1;2024-12-09 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;326;326
1962;BPC1;CC01;201;;4902548501;1;2024-12-09 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;316;316
1962;BPC1;CC01;201;;4902548484;1;2024-12-09 00:00:00;-18;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-49421,57;322;322
1962;BPC1;CC01;201;;4902548499;3;2024-12-09 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;346;346
1962;BPC1;CC01;201;;4902548496;1;2024-12-09 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;93;56
1962;BPC1;CC01;201;;4902548485;1;2024-12-09 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;123;273
1962;BPC1;CC01;201;;4902548368;6;2024-12-06 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;408;408
1962;BPC1;CC01;201;;4902548372;1;2024-12-06 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;162;272
1962;BPC1;CC01;201;;4902548380;2;2024-12-06 00:00:00;-2;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-5491,29;165;880
1962;BPC1;CC01;201;;4902548371;1;2024-12-06 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;311;311
1962;BPC1;CC01;201;;4902548375;1;2024-12-06 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;375;375
1962;BPC1;CC01;201;;4902548463;1;2024-12-06 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;348;348
1962;BPC1;CC01;201;;4902548383;1;2024-12-06 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;307;307
1962;BPC1;CC01;201;;4902548391;1;2024-12-06 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;453;453
1962;BPC1;CC01;201;;4902548387;3;2024-12-06 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;351;351
1962;BPC1;CC01;201;;4902548376;1;2024-12-06 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;317;317
1962;BPC1;CC01;201;;4902548369;4;2024-12-06 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;308;308
1962;BPC1;CC01;201;;4902548373;1;2024-12-06 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;362;362
1962;BPC1;CC01;201;;4902548353;1;2024-12-05 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;302;E127
1962;BPC1;CC01;201;;4902548198;1;2024-12-05 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;392;392
1962;BPC1;CC01;201;;4902548348;1;2024-12-05 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;343;343
1962;BPC1;CC01;201;;4902548361;1;2024-12-05 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;118;256
1962;BPC1;CC01;201;;4902548170;1;2024-12-05 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;922;922
1962;BPC1;CC01;201;;4902548190;2;2024-12-05 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;440;440
1962;BPC1;CC01;201;;4902548364;1;2024-12-05 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;120;136
1962;BPC1;CC01;201;;4902548351;3;2024-12-05 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;390;390
1962;BPC1;CC01;201;;4902548354;5;2024-12-05 00:00:00;-1;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-2745,64;925;E027
1962;BPC1;CC01;201;;4902548203;1;2024-12-05 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;923;923
1962;BPC1;CC01;201;;4902548359;1;2024-12-05 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;943;943
1962;BPC1;CC01;201;;4902548358;4;2024-12-05 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;350;350
1962;BPC1;CC01;201;;4902548191;1;2024-12-05 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;121;11
1962;BPC1;CC01;201;;4902548346;1;2024-12-05 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;902;902
1962;BPC1;CC01;201;;4902548171;1;2024-12-05 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;452;452
1962;BPC1;CC01;201;;4902548007;3;2024-12-04 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;415;415
1962;BPC1;CC01;201;;4902548016;2;2024-12-04 00:00:00;-14;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-38439;400;400
1962;BPC1;CC01;201;;4902548030;1;2024-12-04 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;130;111
1962;BPC1;CC01;201;;4902548022;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;376;376
1962;BPC1;CC01;201;;4902548032;1;2024-12-04 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;913;E104
1962;BPC1;CC01;201;;4902548037;3;2024-12-04 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;342;342
1962;BPC1;CC01;201;;4902548048;1;2024-12-04 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;167;892
1962;BPC1;CC01;201;;4902548006;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;310;310
1962;BPC1;CC01;201;;4902548013;1;2024-12-04 00:00:00;-19;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-52167,21;301;301
1962;BPC1;CC01;201;;4902548004;1;2024-12-04 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;918;918
1962;BPC1;CC01;201;;4902548145;1;2024-12-04 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;323;323
1962;BPC1;CC01;201;;4902548143;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;365;365
1962;BPC1;CC01;201;;4902548041;8;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;418;418
1962;BPC1;CC01;201;;4902548040;1;2024-12-04 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;453;453
1962;BPC1;CC01;201;;4902548027;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;361;361
1962;BPC1;CC01;201;;4902548002;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;334;334
1962;BPC1;CC01;201;;4902548003;1;2024-12-04 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;320;320
1962;BPC1;CC01;201;;4902548039;1;2024-12-04 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;399;399
1962;BPC1;CC01;201;;4902548026;1;2024-12-04 00:00:00;-17;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-46675,93;303;303
1962;BPC1;CC01;201;;4902548005;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;435;435
1962;BPC1;CC01;201;;4902548010;1;2024-12-04 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;369;369
1962;BPC1;CC01;201;;4902548023;1;2024-12-04 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;942;942
1962;BPC1;CC01;201;;4902548028;7;2024-12-04 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,86;340;340
1962;BPC1;CC01;201;;4902548012;1;2024-12-04 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;309;309
1962;BPC1;CC01;201;;4902548047;15;2024-12-04 00:00:00;-14;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-38439;331;331
1962;BPC1;CC01;201;;4902548017;1;2024-12-04 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;350;E020
1962;BPC1;CC01;201;;4902548020;2;2024-12-04 00:00:00;-13;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-35693,36;338;338
1962;BPC1;CC01;201;;4902548018;1;2024-12-04 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;924;924
1962;BPC1;CC01;201;;4902548038;1;2024-12-04 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;429;429
1962;BPC1;CC01;201;;4902548025;1;2024-12-04 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;388;388
1962;BPC1;CC01;201;;4902548042;1;2024-12-04 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;933;933
1962;BPC1;CC01;201;;4902548045;1;2024-12-04 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;428;428
1962;BPC1;CC01;201;;4902548015;1;2024-12-04 00:00:00;-30;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-82369,28;913;913
1962;BPC1;CC01;201;;4902548043;1;2024-12-04 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;337;337
1962;BPC1;CC01;201;;4902547890;6;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;402;402
1962;BPC1;CC01;201;;4902547882;11;2024-12-03 00:00:00;-11;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-30202,07;439;439
1962;BPC1;CC01;201;;4902547891;1;2024-12-03 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,85;315;315
1962;BPC1;CC01;201;;4902547982;1;2024-12-03 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,85;914;914
1962;BPC1;CC01;201;;4902547888;1;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;417;417
1962;BPC1;CC01;201;;4902547881;7;2024-12-03 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;386;386
1962;BPC1;CC01;201;;4902547873;6;2024-12-03 00:00:00;-17;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-46675,93;336;336
1962;BPC1;CC01;201;;4902547974;4;2024-12-03 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;97;52
1962;BPC1;CC01;201;;4902547887;7;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;319;319
1962;BPC1;CC01;201;;4902547878;1;2024-12-03 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;416;416
1962;BPC1;CC01;201;;4902547884;6;2024-12-03 00:00:00;-13;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-35693,36;405;405
1962;BPC1;CC01;201;;4902547875;1;2024-12-03 00:00:00;-20;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-54912,85;305;305
1962;BPC1;CC01;201;;4902547988;2;2024-12-03 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;363;363
1962;BPC1;CC01;201;;4902547893;1;2024-12-03 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;940;940
1962;BPC1;CC01;201;;4902547995;3;2024-12-03 00:00:00;-9;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-24710,78;424;424
1962;BPC1;CC01;201;;4902547871;1;2024-12-03 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;300;300
1962;BPC1;CC01;201;;4902547889;1;2024-12-03 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;944;944
1962;BPC1;CC01;201;;4902547886;1;2024-12-03 00:00:00;-15;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-41184,64;912;912
1962;BPC1;CC01;201;;4902547866;9;2024-12-03 00:00:00;-14;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-38439;425;425
1962;BPC1;CC01;201;;4902547885;1;2024-12-03 00:00:00;-30;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-82369,28;242;242
1962;BPC1;CC01;201;;4902547867;1;2024-12-03 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;393;393
1962;BPC1;CC01;201;;4902547986;1;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;327;327
1962;BPC1;CC01;201;;4902547985;1;2024-12-03 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;377;377
1962;BPC1;CC01;201;;4902547869;2;2024-12-03 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;367;367
1962;BPC1;CC01;201;;4902547883;2;2024-12-03 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;411;411
1962;BPC1;CC01;201;;4902547876;1;2024-12-03 00:00:00;-12;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-32947,71;919;919
1962;BPC1;CC01;201;;4902547872;1;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;330;330
1962;BPC1;CC01;201;;4902547880;3;2024-12-03 00:00:00;-6;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-16473,86;347;347
1962;BPC1;CC01;201;;4902547870;1;2024-12-03 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;912;E032
1962;BPC1;CC01;201;;4902547877;6;2024-12-03 00:00:00;-13;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-35693,36;339;339
1962;BPC1;CC01;201;;4902547874;2;2024-12-03 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;353;353
1962;BPC1;CC01;201;;4902547989;1;2024-12-03 00:00:00;-3;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-8236,93;931;E142
1962;BPC1;CC01;201;;4902547868;1;2024-12-03 00:00:00;-7;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-19219,5;454;454
1962;BPC1;CC01;201;;4902547987;1;2024-12-03 00:00:00;-30;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-82369,28;349;349
1962;BPC1;CC01;201;;4902547879;1;2024-12-03 00:00:00;-30;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-82369,28;900;900
