id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_usd,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
M17-ARANDELA INOX,M17,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M17,,INOXIDABLE,,1.0,28.0,,,M17-ARANDELA INOX,19,2025-05-21,39.0,13,23.0,29.0,12,Proveedor C,4,ok,22.8,0.88,1.1,0.35,2.33,25.13,728.77
"1,5-MECHA",1.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1.5,,MECHAS,,,2.0,,,"1,5-MECHA",20,2025-05-26,67.0,18,14.0,71.0,12,Proveedor C,4,ok,14.7,0.53,0.88,0.22,1.63,16.33,1159.43
9451-RETENES,9451,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,9451-RETENES,21,2025-04-05,40.0,32,0.0,72.0,14,Proveedor A,7,ok,30.42,3.45,1.3,1.04,5.79,36.21,2607.12
7-MECHA,7,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7,,MECHAS,,,0.0,,,7-MECHA,22,2025-03-18,84.0,34,10.0,108.0,7,Proveedor D,5,ok,24.3,1.87,0.85,0.5,3.22,27.52,2972.16
"12,5-MECHA",12.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,12.5,,MECHAS,,,0.0,,,"12,5-MECHA",23,2025-02-14,7.0,2,4.0,5.0,18,Proveedor D,7,critico,9.64,1.01,0.19,0.29,1.49,11.13,55.65
61800-2RS-RODAMIENTO,61800-2RS,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61800-2RS-RODAMIENTO,24,2025-06-02,67.0,24,8.0,83.0,19,Proveedor A,10,ok,24.48,1.53,0.35,0.48,2.36,26.84,2227.72
686-2RS-Ruleman,686-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,686-2RS-Ruleman,25,2025-05-26,77.0,29,34.0,72.0,18,Proveedor B,4,ok,13.93,0.7,0.27,0.44,1.41,15.34,1104.48
10X30-ALLEN INOX,10X30,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,10X30,,INOXIDABLE,,1.0,236.0,,,10X30-ALLEN INOX,26,2025-02-20,66.0,14,0.0,80.0,6,Proveedor C,12,ok,22.04,2.21,1.14,0.26,3.61,25.65,2052.0
M16X30-ALLEN INOX,M16X30,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M16X30,,INOXIDABLE,,1.0,0.0,,,M16X30-ALLEN INOX,27,2025-03-19,86.0,22,20.0,88.0,38,Proveedor A,10,ok,71.79,4.85,1.92,0.87,7.64,79.43,6989.84
RUEDA FLAP TELA -PULIDORA,RUEDA FLAP TELA,PULIDORA,mecanica,PULIDORA,unidad,RUEDA FLAP TELA,110X 100 M14,,VARIOS,,1.0,1.0,,,RUEDA FLAP TELA -PULIDORA,28,2025-03-01,75.0,0,18.0,57.0,17,Proveedor D,6,ok,18.47,0.76,1.06,0.62,2.44,20.91,1191.87
M10 X30-CABEZA FREZADA,M10 X30,CABEZA FREZADA,mecanica,BABEZA FREZADA,unidad,INOXIDABLE,M10X30,,INOXIDABLE,,1.0,,,,M10 X30-CABEZA FREZADA,29,2025-06-23,76.0,17,2.0,91.0,23,Proveedor A,4,ok,22.52,0.84,0.74,0.51,2.09,24.61,2239.51
M50-M37-RETENES,M50-M37,RETENES,mecanica,RETENES,unidad,POLIACRILICO,,,ACERO COMUN,,1.0,8.0,,,M50-M37-RETENES,30,2025-06-02,83.0,25,10.0,98.0,20,Proveedor D,9,ok,15.05,1.65,0.7,0.58,2.93,17.98,1762.04
M8X40-ALLEN INOX,M8X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X40,,INOXIDABLE,,1.0,232.0,,,M8X40-ALLEN INOX,31,2025-03-15,76.0,15,0.0,91.0,5,Proveedor C,4,ok,6.57,0.48,0.15,0.24,0.87,7.44,677.04
M12-ARANDELA WROWER,M12,ARANDELA WROWER,mecanica,ARANDELA,unidad,COMUN,M12,,ACERO COMUN,,1.0,36.0,,,M12-ARANDELA WROWER,32,2025-05-07,45.0,19,30.0,34.0,25,Proveedor A,8,bajo,9.2,0.91,0.37,0.34,1.62,10.82,367.88
M8X100-BULONES,M8X100,BULONES,mecanica,BULONES,unidad,COMUN,M8X100,,ACERO COMUN,,1.0,24.0,,,M8X100-BULONES,33,2025-01-15,82.0,8,6.0,84.0,14,Proveedor A,9,ok,2.98,0.11,0.14,0.05,0.3,3.28,275.52
M10X15-BULON EXAGONAL,M10X15,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,M10X15,,ACERO COMUN,,1.0,0.0,-12,,M10X15-BULON EXAGONAL,34,2025-03-29,73.0,26,12.0,87.0,17,Proveedor B,4,ok,8.07,0.54,0.23,0.22,0.99,9.06,788.22
F210-RODAMIENTO,F210,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,F210-RODAMIENTO,35,2025-02-03,76.0,15,4.0,87.0,12,Proveedor D,8,ok,7.96,0.8,0.19,0.21,1.2,9.16,796.92
M10-TUERCA AUT,M10,TUERCA AUT,mecanica,TUERCA AUT,unidad,COMUN,"M10 X 1,5",,ACERO COMUN,0.8,1.0,360.0,ver,,M10-TUERCA AUT,36,2025-04-11,76.0,20,18.0,78.0,21,Proveedor B,10,ok,0.82,0.08,0.01,0.01,0.1,0.92,71.76
M10X30-BULON EXAGONAL,M10X30,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,10X30,,ACERO COMUN,,1.0,199.0,,,M10X30-BULON EXAGONAL,37,2025-03-31,56.0,19,20.0,55.0,16,Proveedor B,7,ok,4.94,0.34,0.11,0.14,0.59,5.53,304.15
M10-ARANDELA,M10,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M10,,ACERO COMUN,,1.0,708.0,hay una caja,,M10-ARANDELA,38,2025-03-12,79.0,12,19.0,72.0,23,Proveedor D,6,ok,3.38,0.14,0.12,0.04,0.3,3.68,264.96
30011X-9-Ruleman,30011X-9,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,30011X-9-Ruleman,39,2025-03-30,71.0,28,28.0,71.0,15,Proveedor C,7,ok,9.62,0.55,0.54,0.33,1.42,11.04,783.84
T140-TELA ESMERIL,T140,TELA ESMERIL,ferreteria,,,,,,VARIOS,,,,,,T140-TELA ESMERIL,40,2025-04-06,45.0,11,17.0,39.0,21,Proveedor C,8,ok,32.3,3.2,1.69,0.75,5.64,37.94,1479.66
8-FRESA,8,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,8,,MECHAS,,,0.0,,,8-FRESA,41,2025-04-09,100.0,4,8.0,96.0,21,Proveedor A,1,ok,10.14,0.77,0.41,0.15,1.33,11.47,1101.12
UCP204-CAJA RODAMIENTO,UCP204,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,4.0,,,UCP204-CAJA RODAMIENTO,42,2025-04-25,86.0,18,7.0,97.0,23,Proveedor D,2,ok,14.22,0.63,0.57,0.16,1.36,15.58,1511.26
M8X20-BUL HEX INOX,M8X20,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X20,,INOXIDABLE,,1.0,-14.0,,,M8X20-BUL HEX INOX,43,2035-01-01,101.0,16,14.0,103.0,15,Proveedor D,5,ok,12.18,1.31,0.36,0.29,1.96,14.14,1456.42
M8-TUERCA,M8,TUERCA,mecanica,TUERCA,unidad,COMUN,M8,,ACERO COMUN,,1.0,154.0,,,M8-TUERCA,44,2025-02-21,63.0,23,12.0,74.0,11,Proveedor D,9,ok,23.53,2.74,1.26,0.28,4.28,27.81,2057.94
5233-RETENES,5233,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,5233-RETENES,45,2025-03-05,80.0,17,11.0,86.0,17,Proveedor C,1,ok,56.96,5.06,0.9,1.55,7.51,64.47,5544.42
16002RS-Ruleman,16002RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,16002RS-Ruleman,46,2025-05-29,67.0,16,31.0,52.0,30,Proveedor A,6,ok,30.71,2.99,0.68,1.12,4.79,35.5,1846.0
M5X25-ALLEN,M5X25,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X25,,ACERO COMUN,,1.0,0.0,,,M5X25-ALLEN,47,2025-04-24,68.0,8,16.0,60.0,15,Proveedor C,6,ok,4.35,0.27,0.15,0.15,0.57,4.92,295.2
"9,5-MECHA",9.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,9.5,,MECHAS,,,0.0,,,"9,5-MECHA",48,2025-06-12,11.0,12,17.0,6.0,42,Proveedor B,8,critico,8.12,0.34,0.14,0.29,0.77,8.89,53.34
M10x70-BUL HEX INOX,M10x70,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x70,,INOXIDABLE,,1.0,-1.0,,,M10x70-BUL HEX INOX,49,2025-03-23,49.0,16,14.0,51.0,9,Proveedor C,6,ok,13.63,1.09,0.7,0.21,2.0,15.63,797.13
M8-TUERC MARIPOSA MACH,M8,TUERC MARIPOSA MACH,mecanica,TUERC MARIP MACH,unidad,COMUN,M8,,ACERO COMUN,,1.0,-6.0,,,M8-TUERC MARIPOSA MACH,50,2025-02-26,48.0,0,5.0,43.0,17,Proveedor C,10,ok,26.23,2.45,1.52,0.75,4.72,30.95,1330.85
M12X45-BULONES,M12X45,BULONES,mecanica,BULONES,unidad,COMUN,M12X45,,ACERO COMUN,,1.0,0.0,,,M12X45-BULONES,51,2025-02-04,61.0,11,2.0,70.0,22,Proveedor A,6,ok,13.25,1.2,0.43,0.33,1.96,15.21,1064.7
M8X50-BULONES,M8X50,BULONES,mecanica,BULONES,unidad,COMUN,M8X50,,ACERO COMUN,,1.0,67.0,,,M8X50-BULONES,52,2025-03-11,68.0,15,20.0,63.0,18,Proveedor B,4,ok,5.31,0.63,0.08,0.11,0.82,6.13,386.19
M16X90-BULONES,M16X90,BULONES,mecanica,BULONES HEX,unidad,COMUN,M16X90,,ACERO COMUN,,1.0,22.0,,,M16X90-BULONES,53,2025-03-22,50.0,18,15.0,53.0,20,Proveedor C,9,ok,27.7,3.22,0.82,1.08,5.12,32.82,1739.46
9313-RETENES,9313,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,9313-RETENES,54,2025-03-26,65.0,11,5.0,71.0,18,Proveedor B,7,ok,11.5,0.56,0.41,0.16,1.13,12.63,896.73
M15-ARANDELA INOX,M15,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M15,,INOXIDABLE,,1.0,9.0,,,M15-ARANDELA INOX,55,2025-01-25,81.0,22,12.0,91.0,25,Proveedor B,6,ok,45.28,3.88,0.5,1.81,6.19,51.47,4683.77
M14-TUERCA,M14,TUERCA,mecanica,TUERCA,unidad,COMUN,M14,,ACERO COMUN,,1.0,0.0,,,M14-TUERCA,56,2025-06-23,40.0,35,13.0,62.0,4,Proveedor C,1,ok,11.14,0.4,0.45,0.32,1.17,12.31,763.22
"8,5-MECHA",8.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,8.5,,MECHAS,,,1.0,,,"8,5-MECHA",57,2025-03-06,70.0,17,17.0,70.0,18,Proveedor B,12,ok,9.97,1.14,0.53,0.26,1.93,11.9,833.0
M8X40-ALLEN INOX,M8X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X40,,INOXIDABLE,,1.0,232.0,,,M8X40-ALLEN INOX,58,2025-05-04,47.0,10,19.0,38.0,18,Proveedor A,5,ok,19.11,0.94,0.26,0.52,1.72,20.83,791.54
3214TNG-Ruleman,3214TNG,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,1.0,,,3214TNG-Ruleman,59,2025-01-21,67.0,27,16.0,78.0,18,Proveedor B,-145,ok,7.74,0.61,0.36,0.12,1.09,8.83,688.74
51205-Ruleman,51205,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,51205-Ruleman,60,2025-01-20,42.0,26,19.0,49.0,21,Proveedor C,7,ok,18.98,1.21,0.23,0.64,2.08,21.06,1031.94
M17-TUERCA,M17,TUERCA,mecanica,TUERCA,unidad,COMUN,M17,,ACERO COMUN,,1.0,0.0,,,M17-TUERCA,61,2025-05-18,74.0,20,10.0,84.0,16,Proveedor C,5,ok,14.53,0.46,0.86,0.48,1.8,16.33,1371.72
"5,75-MECHA",5.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,5.75,,MECHAS,,,0.0,,,"5,75-MECHA",62,2025-06-17,78.0,11,10.0,79.0,27,Proveedor A,7,ok,10.56,0.46,0.33,0.11,0.9,11.46,905.34
7202BEP-Ruleman,7202BEP,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,7202BEP-Ruleman,63,2025-04-25,110.0,21,15.0,116.0,9,Proveedor C,7,ok,9.27,0.99,0.47,0.12,1.58,10.85,1258.6
SHF25-SOPAPA,SHF25,SOPAPA,seguridad,,unidad,,,,MENINO,,1.0,-4.0,,,SHF25-SOPAPA,64,2025-05-19,81.0,23,14.0,90.0,16,Proveedor A,2,ok,19.43,1.51,0.37,0.64,2.52,21.95,1975.5
M6X15-ALLEN INOX,M6X15,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M6X15,,INOXIDABLE,,1.0,158.0,,,M6X15-ALLEN INOX,65,2025-06-03,81.0,31,23.0,89.0,12,Proveedor C,6,ok,22.1,1.35,0.26,0.29,1.9,24.0,2136.0
M6X15-ALLEN INOX,M6X15,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M6X15,,INOXIDABLE,,1.0,158.0,,,M6X15-ALLEN INOX,66,2025-05-09,63.0,27,24.0,66.0,22,Proveedor D,10,ok,5.25,0.19,0.26,0.19,0.64,5.89,388.74
POS10PL-BULON CON RDAMIENTO,POS10PL,BULON CON RDAMIENTO,mecanica,BULON CON ROOAMIENTO,unidad,acero comun,M10,,ACERO COMUN,,1.0,3.0,,,POS10PL-BULON CON RDAMIENTO,67,2025-01-14,66.0,7,14.0,59.0,13,Proveedor A,5,ok,49.98,3.86,2.43,1.74,8.03,58.01,3422.59
"5,5-MECHA",5.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,5.5,,MECHAS,,,0.0,,,"5,5-MECHA",68,2025-05-05,22.0,21,12.0,31.0,19,Proveedor C,6,ok,5.85,0.69,0.17,0.07,0.93,6.78,210.18
61800-2RS-RODAMIENTO,61800-2RS,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61800-2RS-RODAMIENTO,69,2025-02-15,64.0,14,6.0,72.0,13,Proveedor B,10,ok,6.19,0.66,0.25,0.17,1.08,7.27,523.44
M5X10-ALLEN INOX,M5X10,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,5X10,,INOXIDABLE,0.05,,0.0,,,M5X10-ALLEN INOX,70,2025-01-22,43.0,16,34.0,25.0,20,Proveedor D,11,bajo,0.05,0.0,0.0,0.0,0.0,0.05,1.25
UC206-Ruleman,UC206,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,UC206-Ruleman,71,2025-03-29,92.0,23,8.0,107.0,25,Proveedor C,9,ok,10.84,1.2,0.19,0.38,1.77,12.61,1349.27
M8X40-ALLEN INOX,M8X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X40,,INOXIDABLE,,1.0,232.0,,,M8X40-ALLEN INOX,72,2025-02-28,39.0,26,23.0,42.0,24,Proveedor A,6,ok,13.42,1.42,0.38,0.46,2.26,15.68,658.56
8468-RETENES,8468,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,8468-RETENES,73,2025-03-14,72.0,16,30.0,58.0,18,Proveedor A,4,ok,9.51,1.07,0.38,0.21,1.66,11.17,647.86
6003-2RSH-Ruleman,6003-2RSH,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,23.0,,,6003-2RSH-Ruleman,74,2025-01-07,102.0,10,8.0,104.0,12,Proveedor D,5,ok,16.12,1.59,0.62,0.29,2.5,18.62,1936.48
M17-ARANDELA INOX,M17,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M17,,INOXIDABLE,,1.0,28.0,,,M17-ARANDELA INOX,75,2025-04-29,77.0,12,3.0,86.0,21,Proveedor B,6,ok,16.57,1.47,0.85,0.4,2.72,19.29,1658.94
M10X120-BULONES HEXAG,M10X120,BULONES HEXAG,mecanica,BULONES HEXAG,unidad,COMUN,M10X120,,ACERO COMUN,,1.0,0.0,,,M10X120-BULONES HEXAG,76,2025-04-05,24.0,20,30.0,14.0,17,Proveedor B,7,critico,9.77,0.69,0.39,0.28,1.36,11.13,155.82
"7,75-MECHA",7.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7.75,,MECHAS,,,1.0,,,"7,75-MECHA",77,2025-04-04,72.0,11,20.0,63.0,9,Proveedor A,8,ok,13.47,1.42,0.73,0.37,2.52,15.99,1007.37
8965-RETENES,8965,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,8965-RETENES,78,2025-06-01,93.0,29,14.0,108.0,25,Proveedor C,1,ok,21.23,2.2,0.56,0.47,3.23,24.46,2641.68
M12-MECHA MACHO P ROSCAR,M12,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M12,,MECHAS,,,1.0,,,M12-MECHA MACHO P ROSCAR,79,2025-06-13,65.0,24,21.0,68.0,25,Proveedor D,6,ok,5.51,0.22,0.21,0.2,0.63,6.14,417.52
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,80,2025-02-13,66.0,18,10.0,74.0,19,Proveedor B,7,ok,15.75,1.15,0.92,0.42,2.49,18.24,1349.76
2-MECHA,2,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,2,,MECHAS,,,4.0,,,2-MECHA,81,2025-02-15,43.0,20,28.0,35.0,24,Proveedor C,6,bajo,18.62,1.83,0.2,0.5,2.53,21.15,740.25
M10x70-BUL HEX INOX,M10x70,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x70,,INOXIDABLE,,1.0,-1.0,,,M10x70-BUL HEX INOX,82,2025-05-26,96.0,3,14.0,85.0,29,Proveedor A,7,ok,5.59,0.21,0.33,0.18,0.72,6.31,536.35
m 5x25-BULONES HEXG,m 5x25,BULONES HEXG,mecanica,BULONES HEXAG,unidad,COMUN,m5x25,,ACERO COMUN,,1.0,0.0,,,m 5x25-BULONES HEXG,83,2025-03-11,38.0,26,14.0,50.0,27,Proveedor B,12,ok,11.37,1.02,0.51,0.4,1.93,13.3,665.0
M26-ARANDELA,M26,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M26,,ACERO COMUN,,1.0,0.0,,,M26-ARANDELA,84,2025-03-16,75.0,13,21.0,67.0,21,Proveedor D,6,ok,16.15,0.59,0.19,0.52,1.3,17.45,1169.15
5-FRESA,5,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,5,,MECHAS,,,1.0,,,5-FRESA,85,2025-04-14,73.0,10,7.0,76.0,16,Proveedor D,8,ok,12.91,0.54,0.65,0.15,1.34,14.25,1083.0
UCP 205-CAJA RODAMIENTO,UCP 205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,29.0,,,UCP 205-CAJA RODAMIENTO,86,2025-04-05,35.0,18,20.0,33.0,34,Proveedor C,9,critico,19.08,1.83,1.03,0.24,3.1,22.18,731.94
8MM-TENSORES GALVAN,8MM,TENSORES GALVAN,mecanica,TENSORES GALV,unidad,COMUN,8MM,,ACERO COMUN,,1.0,-7.0,hay una caja,,8MM-TENSORES GALVAN,87,2025-06-18,90.0,12,18.0,84.0,23,Proveedor D,3,ok,54.49,3.03,1.06,1.05,5.14,59.63,5008.92
6320-RETENES,6320,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,6.0,,,6320-RETENES,88,2025-04-21,74.0,5,17.0,62.0,32,Proveedor A,12,ok,24.5,1.92,1.16,0.44,3.52,28.02,1737.24
M10-ARANDELA,M10,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M10,,ACERO COMUN,,1.0,708.0,hay una caja,,M10-ARANDELA,89,2025-04-13,68.0,15,13.0,70.0,29,Proveedor B,8,ok,24.4,2.21,0.45,0.42,3.08,27.48,1923.6
