id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_uusds,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
30011X-9-Ruleman,30011X-9,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,30011X-9-Ruleman,14,2025-03-11,71,10,6,75.0,28.0,Proveedor D,9,ok,14.43,0.98,0.69,0.24,1.91,16.34,1225.5
6305-2RS-RODAMIENTO,6305-2RS,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6305-2RS-RODAMIENTO,15,2025-05-06,7,12,25,0.0,26.0,Proveedor D,4,critico,5.12,0.46,0.26,0.06,0.78,5.9,0.0
T90-TELA ESMERIL,T90,TELA ESMERIL,hidraulico,,,,,,VARIOS,,,,,,T90-TELA ESMERIL,16,2025-06-23,43,12,16,39.0,29.0,Proveedor A,7,bajo,28.74,1.23,1.19,0.45,2.87,31.61,1232.79
M6-ARANDELA INOX,M6,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M6,,INOXIDABLE,,1.0,0.0,,,M6-ARANDELA INOX,17,2025-06-21,39,18,20,37.0,14.0,Proveedor D,5,ok,11.39,1.17,0.66,0.12,1.95,13.34,493.58
M12-MECHA MACHO P ROSCAR,M12,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M12,,MECHAS,,,1.0,,,M12-MECHA MACHO P ROSCAR,18,2025-06-29,102,24,14,112.0,23.0,Proveedor C,2,ok,16.41,0.76,0.97,0.18,1.91,18.32,2051.84
m16-TUERCA,m16,TUERCA,mecanica,TUERCA,unidad,COMUN,m16,,ACERO COMUN,,1.0,48.0,,,m16-TUERCA,19,2025-03-01,75,18,16,77.0,26.0,Proveedor D,6,ok,33.82,3.28,1.55,0.5,5.33,39.15,3014.55
"4,75-MECHA",4.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,4.75,,MECHAS,,,0.0,,,"4,75-MECHA",20,2025-05-18,69,18,21,66.0,14.0,Proveedor C,8,ok,12.37,1.11,0.44,0.21,1.76,14.13,932.58
M10X45-ALLEN INOX,M10X45,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,10X45,,INOXIDABLE,,,,,,M10X45-ALLEN INOX,21,2025-03-15,82,10,17,75.0,24.0,Proveedor B,9,ok,14.3,0.69,0.17,0.39,1.25,15.55,1166.25
UC 204-RODAMIENTO,UC 204,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,UC 204-RODAMIENTO,22,2025-05-08,119,7,8,118.0,40.0,Proveedor A,2,ok,7.29,0.26,0.32,0.08,0.66,7.95,938.1
6005RS-Ruleman,6005RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6005RS-Ruleman,23,2025-05-02,71,26,13,84.0,7.0,Proveedor A,10,ok,7.5,0.68,0.12,0.15,0.95,8.45,709.8
M5X40-ALLEN INOX,M5X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,5X40,,INOXIDABLE,0.12,,,,,M5X40-ALLEN INOX,24,2025-06-27,66,31,20,77.0,17.0,Proveedor D,9,ok,20.09,2.21,0.81,0.75,3.77,23.86,1837.22
LMK16UU-Ruleman,LMK16UU,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,2.0,,,LMK16UU-Ruleman,25,2025-06-28,51,20,9,62.0,11.0,Proveedor C,2,ok,12.29,0.69,0.56,0.41,1.66,13.95,864.9
"5,75-MECHA",5.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,5.75,,MECHAS,,,0.0,,,"5,75-MECHA",26,2025-01-13,35,18,13,40.0,9.0,Proveedor A,6,ok,86.38,2903.0,0.95,1.76,10.46,96.84,3873.6
"4,5-MECHA",4.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,4.5,,MECHAS,,,5.0,,,"4,5-MECHA",27,2025-05-21,89,17,31,75.0,12.0,Proveedor D,8,ok,25.43,1.54,0.57,0.38,2.49,27.92,2094.0
M4X20-BULON EXAGONAL,M4X20,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,4X20,,ACERO COMUN,,1.0,0.0,-12,,M4X20-BULON EXAGONAL,28,2025-05-12,31,18,19,30.0,19.0,Proveedor C,5,ok,13.89,0.56,0.64,0.46,1.66,15.55,466.5
10-FRESA,10,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10,,MECHAS,,,3.0,,,10-FRESA,29,2025-05-26,78,16,10,84.0,31.0,Proveedor D,6,ok,18.35,1.28,0.52,0.51,2.31,20.66,1735.44
"8,5-MECHA",8.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,8.5,,MECHAS,,,1.0,,,"8,5-MECHA",30,2025-06-28,101,6,11,96.0,23.0,Proveedor C,8,ok,7.12,0.57,0.41,0.14,1.12,8.24,791.04
M10X30-BULON EXAGONAL,M10X30,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,10X30,,ACERO COMUN,,1.0,199.0,,,M10X30-BULON EXAGONAL,31,2025-03-03,58,19,16,61.0,3.0,Proveedor D,4,ok,12.97,1.53,0.56,0.47,2.56,15.53,947.33
M10 X30-BUL HEX INOX,M10 X30,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,10X30,,INOXIDABLE,,,13.0,,,M10 X30-BUL HEX INOX,32,2025-05-07,40,4,16,28.0,30.0,Proveedor C,10,critico,27.02,2.63,1.42,0.83,4.88,31.9,893.2
UCFPL205-CAJA RODAMIENTO,UCFPL205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,INOXIDABLE,,,ACERO COMUN,,1.0,35.0,,,UCFPL205-CAJA RODAMIENTO,33,2025-06-06,46,9,9,46.0,5.0,Proveedor B,5,ok,26.43,0.86,0.45,0.65,1.96,28.39,1305.94
M10x70-BUL HEX INOX,M10x70,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x70,,INOXIDABLE,,1.0,-1.0,,,M10x70-BUL HEX INOX,34,2025-05-18,113,2,27,88.0,31.0,Proveedor C,6,ok,5.98,0.71,0.14,0.22,1.07,7.05,620.4
223011FX-RODAMIENTO,223011FX,RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,223011FX-RODAMIENTO,35,2025-04-19,45,2,10,37.0,25.0,Proveedor D,11,bajo,16.02,1.86,0.28,0.18,2.32,18.34,678.58
1-MECHA,1,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1,,MECHAS,,,3.0,,,1-MECHA,36,2025-01-22,49,13,1,61.0,6.0,Proveedor A,6,ok,26.66,1.38,0.82,1.05,3.25,29.91,1824.51
M14-TUERCA,M14,TUERCA,mecanica,TUERCA,unidad,COMUN,M14,,ACERO COMUN,,1.0,0.0,,,M14-TUERCA,37,2025-02-03,38,13,16,35.0,19.0,Proveedor A,3,ok,15.85,1.83,0.26,0.5,2.59,18.44,645.4
0605AC-Ruleman,0605AC,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,8.0,,,0605AC-Ruleman,38,2025-02-16,80,24,26,78.0,15.0,Proveedor C,10,ok,58.1,1.95,3.02,1.2,6.17,64.27,5013.06
TWO-IN-ONE -PULIDORA,TWO-IN-ONE,PULIDORA,mecanica,PULIDORA,unidad,TWO-IN-ONE,150X25X32MM,,VARIOS,,1.0,1.0,,,TWO-IN-ONE -PULIDORA,39,2025-05-18,103,19,19,103.0,22.0,Proveedor C,7,ok,15.78,1.6,0.39,0.32,2.31,18.09,1863.27
M6-MACHOS,M6,MACHOS,mecanica,herramental de corte,unidad,ACERO RAPIDO,M6,,MECHAS,,,3.0,,,M6-MACHOS,40,2025-01-22,29,0,20,9.0,26.0,Proveedor B,3,critico,16.86,0.91,0.39,0.54,1.84,18.7,168.3
11-MECHA,11,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,11,,MECHAS,,,0.0,,,11-MECHA,41,2025-04-06,74,7,13,68.0,20.0,Proveedor A,6,ok,36.42,4.29,0.91,0.72,5.92,42.34,2879.12
SHF20-PIEZA ALUMINIO,SHF20,PIEZA ALUMINIO,herramientas,,unidad,SHF20,,,MENINO,,1.0,0.0,,,SHF20-PIEZA ALUMINIO,42,2025-01-05,97,0,9,88.0,10.0,Proveedor D,4,ok,34.27,1.92,1.85,0.8,4.57,38.84,3417.92
M8X20-BUL HEX INOX,M8X20,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X20,,INOXIDABLE,,1.0,-14.0,,,M8X20-BUL HEX INOX,43,2025-05-24,28,1,21,8.0,32.0,Proveedor D,1,critico,17.79,1.61,0.4,0.52,2.53,20.32,162.56
61900-2RZ-RODAMIENTO,61900-2RZ,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61900-2RZ-RODAMIENTO,44,2025-06-10,63,31,8,86.0,24.0,Proveedor A,12,ok,28.69,2.62,1.53,0.46,4.61,33.3,2863.8
10X30-ALLEN INOX,10X30,ALLEN INOX,,ALLEN INOX,unidad,INOXIDABLE,10X30,,INOXIDABLE,,1.0,236.0,,,10X30-ALLEN INOX,45,2025-02-11,57,9,9,57.0,19.0,Proveedor C,4,ok,15.07,1.32,0.37,0.58,2.27,17.34,988.38
M8X50-BULONES,M8X50,BULONES,mecanica,BULONES,unidad,COMUN,M8X50,,ACERO COMUN,,1.0,67.0,,,M8X50-BULONES,46,2025-01-24,53,21,3,,1.0,Proveedor A,9,ok,12.44,1.47,0.63,0.21,2.31,14.75,1047.25
M8X50-BULONES,M8X50,BULONES,mecanica,BULONES,unidad,COMUN,M8X50,,ACERO COMUN,,1.0,67.0,,,M8X50-BULONES,47,2025-02-23,64,19,0,83.0,26.0,Proveedor D,8,ok,44.21,1.88,0.97,0.47,3.32,47.53,3944.99
M8X16-ALLEN INOX,M8X16,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X15,,INOXIDABLE,18,1.0,216.0,,,M8X16-ALLEN INOX,48,2025-04-03,33,20,10,43.0,28.0,Proveedor A,6,ok,8.6,0.54,0.13,0.16,0.83,9.43,405.49
608-RODAMIENTO,608,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,608,,INOXIDABLE,,1.0,16.0,,,608-RODAMIENTO,49,2025-03-21,50,17,11,56.0,16.0,Proveedor B,7,ok,17.72,1.33,0.42,0.26,2.01,19.73,1104.88
M10X20 -CABEZ FREZADA,M10X20,CABEZ FREZADA,mecanica,CABEZ FRESADA,unidad,INOXIDABLE,M10X20,,INOXIDABLE,,1.0,-22.0,,,M10X20 -CABEZ FREZADA,50,2025-05-16,39,30,14,55.0,26.0,Proveedor A,9,ok,7.52,0.27,0.25,0.16,0.68,8.2,451.0
8828-RETENES,8828,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,8828-RETENES,51,2025-04-18,42,23,12,53.0,7.0,Proveedor C,5,ok,10.76,1.09,0.54,0.32,1.95,12.71,673.63
M10X15-BULON EXAGONAL,M10X15,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,M10X15,,ACERO COMUN,,1.0,0.0,-12,,M10X15-BULON EXAGONAL,52,2025-01-08,23,8,16,15.0,12.0,Proveedor A,2,bajo,41.13,1.34,1.03,1.54,3.91,45.04,675.6
M8X16-ALLEN INOX,M8X16,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X15,,INOXIDABLE,18,1.0,216.0,,,M8X16-ALLEN INOX,53,2025-03-07,69,32,13,88.0,13.0,Proveedor D,9,ok,3.46,0.24,0.18,0.06,0.48,3.94,346.72
M14-TUERCA INOX,M14,TUERCA INOX,mecanica,TUERCA INOX,unidad,INOXIDABLE,M14,,INOXIDABLE,,1.0,0.0,,,M14-TUERCA INOX,54,2025-06-18,63,21,17,67.0,11.0,Proveedor A,9,ok,13.07,1.36,0.53,0.3,2.19,15.26,1022.42
10MM-AUTOPERFORANTES,10MM,AUTOPERFORANTES,electrico,AUTOPERFORANTES,,,10MM,,INOXIDABLE,,1.0,-15.0,,,10MM-AUTOPERFORANTES,55,2025-05-21,54,9,7,56.0,14.0,Proveedor B,7,ok,15.76,1.27,0.39,0.41,2.07,17.83,998.48
12-FRESA,12,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,12,,MECHAS,,,1.0,,,12-FRESA,56,2025-03-31,80,30,14,96.0,22.0,Proveedor C,6,ok,19.02,1.51,0.35,0.48,2.34,21.36,2050.56
8828-RETENES,8828,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,8828-RETENES,57,2025-06-23,60,31,25,66.0,15.0,Proveedor D,7,ok,17.55,0.57,1.01,0.42,2.0,19.55,1290.3
5-MECHA CENTRO,5,MECHA CENTRO,mecanica,herramental de corte,unidad,ACERO RAPIDO,5,,MECHAS,,,1.0,,,5-MECHA CENTRO,58,2025-01-04,33,21,8,46.0,25.0,Proveedor A,3,ok,18.35,1.64,0.38,0.47,2.49,20.84,958.64
M12-ARANDELA WROWER,M12,ARANDELA WROWER,mecanica,ARANDELA,unidad,COMUN,M12,,ACERO COMUN,,1.0,36.0,,,M12-ARANDELA WROWER,59,2025-04-29,82,22,0,104.0,25.0,Proveedor C,11,ok,28.85,2.76,1.02,0.86,4.64,33.49,3482.96
"3,15-MECHA CENTRO",3.15,MECHA CENTRO,mecanica,herramental de corte,unidad,ACERO RAPIDO,3.15,,MECHAS,,,2.0,,,"3,15-MECHA CENTRO",60,2025-01-29,52,23,6,69.0,10.0,Proveedor A,8,ok,25.31,2.18,0.28,0.95,3.41,28.72,1981.68
"10,75-MECHA",10.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10.75,,MECHAS,,,0.0,,,"10,75-MECHA",61,2025-06-15,30,22,11,41.0,19.0,Proveedor C,7,ok,30.14,2.08,1.49,1.16,4.73,34.87,1429.67
7202BEP-Ruleman,7202BEP,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,7202BEP-Ruleman,62,2025-06-11,20,35,12,43.0,18.0,Proveedor A,7,ok,32.0,2.03,1.14,0.34,3.51,35.51,1526.93
M10-ARANDELA INOX,M10,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M10,,INOXIDABLE,0.05,1.0,45.0,,,M10-ARANDELA INOX,63,2025-06-28,56,0,20,36.0,27.0,Proveedor B,7,bajo,10.34,1.08,0.2,0.38,1.66,12.0,432.0
M12X50-BULONES HEXG,M12X50,BULONES HEXG,mecanica,BULONES HEXG,unidad,COMUN,M12X50,,ACERO COMUN,,1.0,10.0,,,M12X50-BULONES HEXG,64,2025-04-23,43,17,17,43.0,30.0,Proveedor D,9,bajo,33.17,2.33,1.85,0.49,4.67,37.84,1627.12
M10X45-BULON EXAGONAL,M10X45,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,"10X1,5X45",paso 30mm y 10mm liso,ACERO COMUN,,1.0,185.0,,,M10X45-BULON EXAGONAL,65,2025-05-28,88,23,13,98.0,17.0,Proveedor A,6,ok,23.7,2.06,1.04,0.69,3.79,27.49,2694.02
M12x25-BULONES,M12x25,BULONES,mecanica,BULONES,unidad,COMUN,M12x25,,ACERO COMUN,,1.0,35.0,,,M12x25-BULONES,66,2025-06-23,100,31,22,109.0,25.0,Proveedor B,3,ok,19.68,1.07,1.02,0.65,2.74,22.42,2443.78
F208-CAJA RODAMIENTO,F208,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,F208-CAJA RODAMIENTO,67,2025-04-04,27,36,15,48.0,15.0,Proveedor D,12,ok,9.8,1.13,0.24,0.17,1.54,11.34,544.32
608-RODAMIENTO,608,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,608,,INOXIDABLE,,1.0,16.0,,,608-RODAMIENTO,68,2025-03-08,14,16,15,15.0,23.0,Proveedor A,8,critico,35.06,2.77,2.05,0.94,5.76,40.82,612.3
M8X50-BUL HEX INOX,M8X50,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X50,,INOXIDABLE,,1.0,15.0,,,M8X50-BUL HEX INOX,69,2025-05-30,50,10,19,41.0,18.0,Proveedor C,8,ok,19.35,1.17,0.65,0.59,2.41,21.76,892.16
COMBIN 1NT 1T-PULIDORA,COMBIN 1NT 1T,PULIDORA,mecanica,PULIDORA,unidad,COMBIN 1NT 1T,110X50X45 MM,,VARIOS,,1.0,1.0,,,COMBIN 1NT 1T-PULIDORA,70,2025-04-01,74,-483,16,70.0,30.0,Proveedor B,5,ok,10.36,1.02,0.29,0.28,1.59,11.95,836.5
M14-TUERCA,M14,TUERCA,mecanica,TUERCA,unidad,COMUN,M14,,ACERO COMUN,,1.0,0.0,,,M14-TUERCA,71,2025-02-24,95,19,21,93.0,17.0,Proveedor B,11,ok,42.79,3.17,1.7,0.66,5.53,48.32,4493.76
M10X20 -ALLEN INOX,M10X20,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M10X20,,INOXIDABLE,,1.0,0.0,,,M10X20 -ALLEN INOX,72,2025-04-26,92,26,20,98.0,29.0,Proveedor D,2,ok,12.7,0.79,0.27,0.22,1.28,13.98,1370.04
M10X20 -BULONES,M10X20,BULONES,mecanica,BULONES,unidad,COMUN,M10X20,,ACERO COMUN,,1.0,1.0,,,M10X20 -BULONES,73,2025-03-18,19,6,17,8.0,16.0,Proveedor C,9,critico,22.08,2.3,0.9,0.85,4.05,26.13,209.04
"1,75-MECHA",1.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1.75,,MECHAS,,,1.0,,,"1,75-MECHA",74,2025-06-03,86,24,6,104.0,21.0,Proveedor B,6,ok,5.77,0.51,0.3,0.06,0.87,6.64,690.56
9405-RETENES,9405,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,9405-RETENES,75,2025-06-20,71,18,21,68.0,23.0,Proveedor C,6,ok,47.71,2.23,2.05,1.11,5.39,53.1,3610.8
M10-TUERC MARIPOSA HEMBRA,M10,TUERC MARIPOSA HEMBRA,mecanica,TUERC MARIP HEMBRA,unidad,COMUN,M10,,ACERO COMUN,,1.0,-4.0,,,M10-TUERC MARIPOSA HEMBRA,76,2025-06-26,68,23,16,75.0,19.0,Proveedor D,9,ok,6.82,0.29,0.15,0.14,0.58,7.4,555.0
T100-TELA ESMERIL,T100,TELA ESMERIL,mecanica,,,,,,VARIOS,,,,,,T100-TELA ESMERIL,77,2025-02-12,5,15,1,19.0,11.0,Proveedor C,10,ok,26.84,1.27,1.47,0.8,3.54,30.38,577.22
RPL204W-CAJA RODAMIENTO,RPL204W,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,INOXIDABLE,,,ACERO COMUN,,1.0,20.0,,,RPL204W-CAJA RODAMIENTO,78,2025-01-01,68,18,19,67.0,30.0,Proveedor B,6,ok,3.35,0.19,0.11,0.13,0.43,3.78,253.26
M5X20-ALLEN,M5X20,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X20,,ACERO COMUN,,,0.0,,,M5X20-ALLEN,79,2025-03-25,40,20,17,43.0,21.0,Proveedor B,2,ok,4.61,0.4,0.13,0.09,0.62,5.23,224.89
"12,75-MECHA",12.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,12.75,,MECHAS,,,2.0,,,"12,75-MECHA",80,2025-02-14,82,10,11,81.0,9.0,Proveedor A,6,ok,22.04,1.83,0.3,0.28,2.41,24.45,1980.45
6303-RODAMIENTO,6303,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,6303,,INOXIDABLE,,1.0,12.0,,,6303-RODAMIENTO,81,2025-05-07,73,24,20,77.0,35.0,Proveedor D,6,ok,20.16,2.29,1.05,0.8,4.14,24.3,1871.1
61802-RS-Ruleman,61802-RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61802-RS-Ruleman,82,2025-02-26,50,23,20,53.0,22.0,Proveedor D,8,ok,2.19,0.24,0.05,0.08,0.37,2.56,135.68
M8X20-BUL HEX INOX,M8X20,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X20,,INOXIDABLE,,1.0,-14.0,,,M8X20-BUL HEX INOX,83,2025-05-18,80,29,5,104.0,26.0,Proveedor D,8,ok,7.03,0.46,0.33,0.21,1.0,8.03,835.12
"1,5-MECHA",1.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1.5,,MECHAS,,,2.0,,,"1,5-MECHA",84,2025-06-14,53,24,4,73.0,14.0,Proveedor D,1,ok,5.85,0.59,0.13,0.15,0.87,6.72,490.56
SHF20-PIEZA ALUMINIO,SHF20,PIEZA ALUMINIO,seguridad,,unidad,SHF20,,,MENINO,,1.0,0.0,,,SHF20-PIEZA ALUMINIO,85,2025-06-21,72,28,11,89.0,28.0,Proveedor B,9,ok,18.37,2.1,0.28,0.42,2.8,21.17,1884.13
M5X20-ALLEN,M5X20,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X20,,ACERO COMUN,,,0.0,,,M5X20-ALLEN,86,2025-02-15,41,27,23,45.0,12.0,Proveedor A,9,ok,18.76,2.1,0.71,0.41,3.22,21.98,989.1
6800-RS-Ruleman,6800-RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6800-RS-Ruleman,87,2025-04-12,74,5,28,51.0,16.0,Proveedor A,4,ok,11.56,0.38,0.51,0.38,1.27,12.83,654.33
2-MECHA,2,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,2,,MECHAS,,,4.0,,,2-MECHA,88,2025-02-15,71,15,11,75.0,30.0,Proveedor C,8,ok,50.54,5.05,0.67,1.28,7.0,57.54,4315.5
"9,25-MECHA",9.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,9.25,,MECHAS,,,0.0,,,"9,25-MECHA",89,2025-05-02,19,15,34,0.0,25.0,Proveedor A,7,critico,7.14,0.43,0.3,0.22,0.95,8.09,0.0
M10 X 35-ALLEN INOX,M10 X 35,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M10X35,,INOXIDABLE,,1.0,100.0,,,M10 X 35-ALLEN INOX,90,2025-05-03,39,27,0,66.0,26.0,Proveedor A,8,ok,6.43,0.76,0.12,0.11,0.99,7.42,489.72
M5-TUERCA,M5,TUERCA,mecanica,TUERCA,unidad,COMUN,M5,,ACERO COMUN,,1.0,115.0,,,M5-TUERCA,91,2025-04-14,59,9,9,59.0,1.0,Proveedor B,4,ok,17.07,0.91,0.47,0.39,1.77,18.84,1111.56
